,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
364,오이스터 베이 스파클링 뀌베 브뤼,OYSTER BAY SPARKING CUVEE BRUT,Sparkling,뉴질랜드,-,오이스터 베이,11%,샤르도네 (CHARDONNAY) 100%,"60,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=3085
365,산 필리포 브루넬로 디 몬탈치노 레 루체레 리제르바,SAN FILIPPO BRUNELLO DI MONTALCINO LE LUCERE RISERVA,Red,이탈리아,몬탈치노,산 필리포,15%,산지오베제(SANGIOVESE) 100%,,4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=3084
366,프루노토 바롤로 리제르바 비냐 콜로넬로,PRUN0TTO BAROLO RISERVA VIGNA COLONELLO,Red,이탈리아,피에몬테,프루노토/ 안티노리 MARCHESI ANTINORI S.P.A.,14%,네비올로(Nebbiolo) 100%,"450,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=3083
367,에스쿠도 로호 바로네사P,ESCUDO ROJO BARONESA P,Red,칠레,-,바롱 필립 드 로칠드 마이포 칠레 BARON PHILIPPE DE ROTHSCHILD CHILE,14%,"카베르네 소비뇽(CABERNET SAUVIGNON) 76%, 카르메네르(CARMENERE) 9%, 쁘띠 베르도(PETIT VERDOT) 5.5% , 카베르네 프랑(CABERNET FRANC) 2%",,4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=3082
368,도멘 라 바로쉬 리버티,DOMAINE LA BARROCHE LIBERTY,Red,프랑스,론,도멘 라 바로쉬(Domaine La Barroche),14.5%,"그르나슈(GRENACHE) 55%, 시라(SYRAH) 18%, 무드베드르(MOURVEDRE) 12%, 생소(CINSAULT)10%, 카리냥(CARIGNAN) 5%","64,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3081
369,도멘드라가렌느 뿌이퓌세,DOMAINE DE LA GARENNE POUILLY FUISSE,White,프랑스,부르고뉴,도멘 드 라 가렌느(Domaine de la Garenne),13.5%,샤르도네(Chardonnay) 100%,"110,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3080
370,아발론 레트로 카베르네 소비뇽,AVALON RETRO CABERNET SAUVIGNON,Red,미국,"캘리포니아, 노스 코스트, 나파 밸리",아발론 와이너리,13.5%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,"14,900원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=3075
371,포데레 레 리피 '본사이',PODERE LE RIPI 'BONSAI',Red,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,15%,산지오베제(SANGIOVESE) 100%,"600,000원",4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=3071
372,포데레 레 리피 '루피 에 시렌' BDM RISERVA,PODERE LE RIPI 'LUPI E SIRENE' BDM RISERVA,Red,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,14.5%,산지오베제(SANGIOVESE) 100%,"270,000원",4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=3070
373,포데레 레 리피 '시엘로 듀리쎄' BDM,PODERE LE RIPI 'CIELO D'ULISSE' BDM,Red,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,14%,산지오베제(SANGIOVESE) 100%,"120,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=3069
374,포데레 레 리피 '카나토르타',PODERE LE RIPI 'CANNATORTA',White,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,12.5%,"트레비아노 토스카노(TREBBIANO TOSCANO) 90%, 말바지아(MALVASIA) 10%","65,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=3068
375,포데레 레 리피 '아모레 이 폴리아',PODERE LE RIPI 'AMORE E FOLLIA',Red,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,14%,"산지오베제(SANGIOVESE)50%, 시라(SYRAH) 50%","65,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3067
376,초콜렛 N2,CHOCOLATE N2,White,스페인,리오하,아르테비노 그룹 ARTEVINO,14%,"비우라(VIURA) 60%, 템프라니요(TEMPRANILLO) 20%, 말바지아(MALVASIA) 10%, 마투라나 블랑카(MATURANA BLANCA) 10%","65,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3066
377,아델리나 워터베일 리슬링,ADELINA WATERVALE RIESLING,White,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,11.5%,리슬링(RIESLING) 100%,"33,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=3063
378,아델리나 아르네이스,ADELINA ARNEIS,White,호주,"남호주, 클레어밸리",,,아르네이스(ARNEIS) 100%,"29,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3062
379,아델리나 쉬라즈 마타로,ADELINA SHIRAZ MATARO,Red,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,14%,"쉬라즈(SHIRAZ) 78%, 마타로(MATARO) 22%","49,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3061
380,아델리나 쉬라즈,ADELINA SHIRAZ,Red,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,13%,쉬라즈(SHIRAZ) 100%,"70,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=3060
381,아델리나 그르나슈,ADELINA GRENACHE,Red,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,13.8%,그르나슈(GRENACHE) 100%,"65,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3059
382,베니카 피노 그리지오 제세라,VENICA PINOT GRIGIO JESERA,White,이탈리아,-,베니카 VENICA,13.5%,피노 그리지오(PINOT GRIS) 100%,"45,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3056
383,베니카 프리울라노 론꼬 델 키메,VENICA FRIULANO RONCO DELLE CIME,White,이탈리아,-,베니카 VENICA,14%,프리울라노(TOCAI FRIULANO) 100%,"55,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3055
384,베니카 트레 비니스,VENICA TRE VIGNIS,White,이탈리아,-,베니카 VENICA,13.5%,"프리울라노(TOCAI FRIULANO)50%, 샤르도네(CHARDONNAY)30%, 소비뇽 블랑(SAUVIGNON BLANC) 20%","55,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3054
385,베니카 인시에메 메를로,VENICA INSIEME MERLOT,Red,이탈리아,-,베니카 VENICA,14%,메를로(MERLOT) 100%,"90,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=3053
386,베니카 소비뇽 론꼬 델 메레,VENICA SAUVIGNON RONCO DELLE MELE,White,이탈리아,-,베니카 VENICA,14%,소비뇽블랑(SAUVIGNON BLANC) 100%,"80,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=3052
387,수카르디 핀카 피에드라 그라바스칼,ZUCCARDI FINCA PIEDRA GRAVASCAL,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),14%,말벡(MALBEC) 100%,"500,000원",4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=3045
388,수카르디 핀카 카날 우꼬,ZUCCARDI FINCA CANAL UCO,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),14.3%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"250,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=3043
389,수카르디 핀카 로스 멤브릴로스,ZUCCARDI FINCA LOS MEMBRILLOS,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),14%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"320,000원",4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=3042
390,수카르디 세리에 에이 토론테스,ZUCCARDI SERIE A TORRONTES,White,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),14.5%,토론테스(TORRONTES) 100%,"32,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=3040
391,빅 마우스 화이트,BIG MOUTH WHITE,White,남아공,-,,,"슈냉블랑(CHENIN BLANC), 기타품종(OTHERS)",,,https://www.winenara.com/goods/goods_view.php?goodsNo=3037
392,빅 마우스 레드,BIG MOUTH RED,Red,남아공,-,,,"쉬라즈(SHIRAZ), 기타품종(OTHERS)",,,https://www.winenara.com/goods/goods_view.php?goodsNo=3036
393,이즈웨이 돈,IZWAY DON,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,15.3%,쉬라즈(SHIRAZ) 100%,"180,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2975
394,이즈웨이 해럴드,IZWAY HAROLD,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,14.8%,쉬라즈(SHIRAZ) 100%,"99,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2974
395,이즈웨이 브루스,IZWAY BRUCE,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,14.9%,쉬라즈(SHIRAZ) 100%,"85,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2973
396,이즈웨이 롭 앤 레스,IZWAY ROB AND LES,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,14.9%,쉬라즈(SHIRAZ) 100%,"43,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2972
397,이즈웨이 마타로 블루 라벨,IZWAY MATARO BLUE LABEL,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,14.4%,마타로(MATARO) 100%,"36,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2971
398,호세 수카르디,JOSE ZUCCARDI,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),14.5%,"말벡(MALBEC) 95%, 카베르네 소비뇽(CABERNET SAUVIGNON) 5%","140,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2967
399,수카르디 콘크레토,ZUCCARDI CONCRETO,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),13.5%,말벡(MALBEC) 100%,"80,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2966
400,수카르디 큐 말벡,ZUCCARDI Q MALBEC,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),14%,말벡(MALBEC) 100%,"35,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2965
401,수카르디 큐 카베르네 소비뇽,ZUCCARDI Q CABERNET SAUVIGNON,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),14%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"35,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2964
402,카스텔로 데이 람폴라 키안티 클라시코 DOCG,CASTELLO DEI RAMPOLLA CHIANTI CLASSICO DOCG,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),13.5%,산지오베제(SANGIOVESE) 100%,"100,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2955
403,카스텔로 데이 람폴라 산지오베제,CASTELLO DEI RAMPOLLA SANGIOVESE DI S. LUCIA,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),14.5%,산지오베제(SANGIOVESE) 100%,"130,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2954
404,마스 가비넬 인액세서블,MAS GABINELE INACCESSIBLE,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),15%,"무드베드르(MOURVEDRE)65%, 시라(SYRAH)20%, 그르나슈(GRENACHE) 15%","199,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2926
405,마스 가비넬 포줴흐 레드,MAS GABINELE FAUGERES RED,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),14.5%,"그르나슈(GRENACHE) 40%, 시라(SYRAH)30%, 무드베드르(MOURVEDRE)15%, 카리냥(CARIGNAN)15%","39,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2924
406,마스 가비넬 그르나슈 그리,MAS GABINELE GRENACHE GRIS,White,프랑스,남프랑스,마스 가비넬(MAS GABINELE),14%,그르나슈 그리(GRENACHE GRIS) 100%,"39,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2923
407,뛰느뱅 샤또 쉬빌로,THUNEVIN CHATEAU SUBILAUX,Red,프랑스,보르도,뛰느뱅(Thunevin),14%,"메를로(MERLOT)90%, 카베르네 소비뇽(CABERNET SAUVIGNON)10%","40,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2922
408,딜레 슈프림,DILE SUPREME,Red,이탈리아,피에몬테,산테로,14%,"바르베라(BARBERA) 40%, 카베르네 소비뇽(CABERNET SAUVIGNON) 40%, 피노 네로(PINOT NERO)20%","35,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2912
409,마쎄리아 도피오 파쏘 '뀌베 16',MASSERIA DOPPIO PASSO 'CUVEE 16',Red,이탈리아,풀리아,마쎄리아 도피오 파쏘(Masseria Doppio Passo),16%,"네그로 아마로(NEGROAMARO)70%, 진판델(ZINFANDEL)30%","50,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2902
410,필라보아 몬테 알토 알바리뇨,FILLABOA FINCA MONTE ALTO,White,스페인,"스페인, 리아스 바이아스",MASAVEU BODEGAS/FILLABOA,13.5%,알바리뇨(ALBARINO) 100%,"80,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2880
411,보네 루즈 가메 누아,BONNET ROUGE GAMAY NOIR,Red,프랑스,보졸레,보네 루즈(BONNET ROUGE),13%,가메(GAMAY) 100%,"22,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2879
412,코림비아 템프라니요 말벡,CORYMBIA TEMPRANILLO MALBEC,Red,호주,"서호주,스완밸리",코림비아(CORYMBIA WINE PTY LTD),13.9%,"템프라니요(TEMPRANILLO) 62%, 말벡(MALBEC) 38%","72,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2877
413,파크 에 피스 퀴베 오로레 블랑 드 블랑 프리미에 크뤼,PAQUES & FILS CUVEE AURORE BDB 1er,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,12.5%,샤르도네(CHARDONNAY) 100%,"85,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2875
414,파크 에 피스 퀴베 오리진 프리미에 크뤼,PAQUES ET FILS CUVEE ORIGINE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,12.5%,"샤르도네(CHARDONNAY) 80%, 피노 누아(PINOT NOIR) 20%","99,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2874
415,모리스 가비네 뫼르소,MAURICE GAVIGNET MEURSAULT,White,프랑스,부르고뉴,모리스 가비네,-,샤르도네 (CHARDONNAY) 100%,"180,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2873
416,모리스 가비네 뽀마르,MAURICE GAVIGNET POMMARD,Red,프랑스,부르고뉴,모리스 가비네,-,피노 누아(PINOT NOIR) 100%,"120,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2872
417,샴페인 에띠엔 깔삭 레샤뻬 벨 블랑 드 블랑 1ER,CHAMPAGNE PALMER BRUT RESERVE,Champagne,프랑스,상파뉴,SARL ETIENNE CALSAC,12%,샤르도네(CHARDONNAY) 100%,"180,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2870
418,파크 에 피스 카르트 루즈 프리미에 크뤼,PAQUES & FILS CARTE ROUGE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,12.5%,"피노 누아(PINOT NOIR) 50%, 샤르도네(CHARDONNAY) 50%","69,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2866
419,파크 에 피스 브뤼 나투르 프리미에 크뤼,PAQUES ET FILS BRUT NATURE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,12.5%,"피노 누아(PINOT NOIR) 80%, 피노 므니에(PINOT MEUNIER) 20%","79,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2865
420,파크 에 피스 그랑 리저브 프리미에 크뤼,PAQUES ET FILS GRANDE RESERVE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,12.5%,"샤르도네(CHARDONNAY) 70%, 피노 누아(PINOT NOIR) 30%","89,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2864
421,부온크리스티아니 오피씨 나파 밸리 레드,BUONCRISTIANI O.P.C NAPA VALLEY RED,Red,미국,"미국,캘리포니아,나파",부온크리스티아니,14.5%,"카베르네 소비뇽(CABERNET SAUVIGNON) 44%, 말벡(MALBEC) 28%, 시라(SYRAH) 24%, 메를로(MERLOT) 4%","180,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2863
422,부온크리스티아니 나파 밸리 카베르네 소비뇽,BUONCRISTIANI NAPA VALLEY CABERNET SAUVIGON,Red,미국,"미국,캘리포니아,나파",부온크리스티아니,15%,"카베르네 소비뇽(CABERNET SAUVIGNON) 95%, 말벡(MALBEC) 3%, 쁘띠 베르도(PETIT VERDOT)2%","280,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2862
423,부온크리스티아니 나파 밸리 샤르도네,BUONCRISTIANI NAPA VALLEY CHARDONNAY,White,미국,"미국,캘리포니아,나파",부온크리스티아니,14.4%,샤르도네(CHARDONNAY) 100%,"140,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2861
424,스칼라브로네 볼게리 로제,SCALABRONE BOLGHERI ROSE,Rose,이탈리아,"이탈리아,토스카나",안티노리,12.5%,"카베르네 소비뇽(CABERNET SAUVIGNON) 40%, 메를로(MERLOT) 30%, 시라(SYRAH) 30%","39,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2860
425,브라미토 델 체르보,BRAMITO DEL CERVO,White,이탈리아,"이탈리아,움브리아",안티노리,12.5%,샤르도네(CHARDONNAY) 100%,"48,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2859
426,도멘 베르타냐 샹볼 뮈지니 빌라쥐,DOMAINE BERTAGNA CHAMBOLLE MUSIGNY VILLAGE,Red,프랑스,"프랑스, 부르고뉴",도멘 베르타냐 DOMAINE BERTAGNA,-,피노누아(PINOT NOIR) 100%,"160,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2858
427,트림바크 리저브 피노누아,TRIMBACH RESERVE PINOT NOIR,Red,프랑스,"프랑스, 알자스",트림바크,13%,피노누아(PINOT NOIR) 100%,"60,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2857
428,시모네 페브르 샤블리 1등급,SIMONNET FEBVRE CHABLIS 1ER CRU,White,프랑스,"부르고뉴, 샤블리",시모네 페브르 (Simonnet Febvre),13%,샤르도네 (Chardonnay) 100%,"60,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2856
429,어니스트 레미 옥시모어 그랑크뤼,ERNEST REMY OXYMORE GRAND CRU,Champagne,프랑스,"프랑스,상파뉴",어니스트 레미,12%,"피노누아(PINOT NOIR) 60%, 샤르도네(CHARDONNAY) 40%",,4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2854
430,로스 인토카블레스 샤르도네,LOS INTOCABLES CHARDONNAY,White,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),12%,샤르도네(CHARDONNAY) 100%,"32,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2852
431,로스 인토카블레스 카베르네 소비뇽,LOS INTOCABLES CABERNET SAUVIGNON,Red,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),13.5%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"32,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2851
432,베커스 시라 그르나슈,BEKKERS SYRAH GRENACHE,Red,호주,맥라렌 베일,베커스(BEKKERS),14%,"시라(SYRAH) 64%, 그르나슈(GRENACHE) 36%","120,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2812
433,베커스 시라,BEKKERS SYRAH,Red,호주,맥라렌 베일,베커스(BEKKERS),14.5%,시라(SYRAH) 100%,"140,000원",4.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2811
434,알파박스 앤 다이스 헤라클레스,ALPHA BOX AND DICE HERCULES,Red,호주,맥라렌 베일,알파 박스 & 다이스,16%,쉬라즈 (SHIRAZ) 100%,"99,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2809
435,알파박스 앤 다이스 포그 네비올로,ALPHA BOX AND DICE FOG NEBBIOLO,Red,호주,맥라렌 베일,알파 박스 & 다이스,14.7%,네비올로 (NEBBIOLO) 100%,"49,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2808
436,알파박스 앤 다이스 타로 그르나슈,ALPHA BOX AND DICE APOSTLE,Red,호주,맥라렌 베일,,,그르나슈 (GRENACHE) 100%,"29,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2806
437,알파박스 앤 다이스 아포스틀,ALPHA BOX AND DICE APOSTLE,Red,호주,맥라렌 베일,알파 박스 & 다이스,14.1%,"쉬라즈 (SHIRAZ) 93% , 쁘띠 시라 (PETITE SIRAH) 7%","49,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2805
438,알파박스 앤 다이스 아이코나,ALPHA BOX AND DICE ICONA,Red,호주,맥라렌 베일,알파 박스 & 다이스,16.1%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"49,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2804
439,알파박스 앤 다이스 시렌,ALPHA BOX AND DICE SIREN,Red,호주,맥라렌 베일,알파 박스 & 다이스,13.8%,네로 다볼라(NERO D'AVOLA) 100%,"45,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2803
440,알파박스 앤 다이스 미스트레스,ALPHA BOX AND DICE MISTRESS,Red,호주,맥라렌 베일,알파 박스 & 다이스,13.8%,"또우리가 나씨오날(TOURIGA NACIONAL) 49% , 템프라니요(TEMPRANILLO) 30% , 까리냥(CARIGNAN) 21%","35,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2802
441,알파박스 앤 다이스 데드 와인메이커스 소사이어티 뮈스카,ALPHA BOX AND DICE DEAD WINEMAKERS SOCIETY MUSCAT,White,호주,"남호주, 맥라렌 베일",알파 박스 & 다이스,12.4%,뮈스카(Muscat) 30%,"35,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2801
442,리틀뷰티 드라이 리슬링,LITTLE BEAUTY DRY RIESLING,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,12%,리슬링(RIESLING) 100%,"55,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2799
443,리틀 뷰티 블랙 에디션 피노그리,LITTLE BEAUTY BLACK EDITION PINOT GRIS,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,13%,피노그리 (PINOT GRIS) 100%,"100,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2798
444,디비누스,DIVINUS,Red,프랑스,"프랑스, 보르도",LES VIGNOBLES ANDRE LURTON,13%,"메를로(MERLOT) 80% , 카베르네 소비뇽(CABERNET SAUVIGNON) 20%","150,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2795
445,리틀 뷰티 블랙 에디션 소비뇽블랑,LITTLE BEAUTY BLACK EDITION SAUVIGNON BLANC,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,13%,소비뇽 블랑 (Sauvignon Blanc) 100%,"100,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2788
446,조단 샤르도네,JORDAN CHARDONNAY,White,미국,"미국,캘리포니아,소노마",조단 와이너리(Jordan Vineyard & Winery),13.7%,샤르도네(CHARDONNAY) 100%,"120,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2778
447,카띠에르 브뤼 프리미에 크뤼,CATTIER BRUT PREMIER CRU,Champagne,프랑스,상파뉴,CHAMPAGNE CATTIER,12.5%,"피노 므니에(PINOT MEUNIER) 60%, 피노 누아(PINOT NOIR) 20% , 샤르도네(CHARDONNAY) 20%","85,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2767
448,쇼 앤 스미스 렌스우드 피노누아,SHAW AND SMITH LENSWOOD PINOT NOIR,Red,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,13%,피노누아 (PINOT NOIR) 100%,"109,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2751
449,쇼 앤 스미스 렌스우드 샤르도네,SHAW AND SMITH LENSWOOD CHARDONNAY,White,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,13%,샤르도네(CHARDONNAY) 100%,"109,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2750
450,앤젤린 러시안 리버 밸리 피노누아,ANGELINE RUSSIAN RIVER VALLEY PINOT NOIR,Red,미국,"미국, 캘리포니아",MARTIN RAY and ANGELINE WINERY,13.7%,피노 누아(PINOT NOIR) 100%,"29,900원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2747
451,파이퍼하이직 레어 08,PIPER HEIDSIECK RARE 08,Champagne,프랑스,샴페인,파이퍼 하이직,12%,"샤르도네 (Chardonnay) 70%, 피노 누아 (Pinot Noir) 30%","400,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2734
452,알파카 브뤼,ALPACA BRUT,Sparkling,칠레,-,VSPT,-,샤르도네(CHARDONNAY) 100%,"25,000원",3.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2731
453,닥터 린드만 빈25 스파클링 뀌베,LINDEMAN'S BIN 25 SPARKLING CUVEE,Sparkling,호주,-,TREASURY WINE ESTATES,-,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY), 피노 므니에(PINOT MEUNIER)","20,000원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2730
454,폴 당장 뀌베 카르트 누와,PAUL DANGIN CUVEE CARTE NOIRE,Champagne,프랑스,상파뉴,SARL DANGIN,12%,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY), 피노 므니에(PINOT MEUNIER)","70,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2727
455,샴페인 팔머 브뤼 리저브,CHAMPAGNE PALMER BRUT RESERVE,Champagne,프랑스,상파뉴,CHAMPAGNE PALMER & CO.,12%,"샤르도네(CHARDONNAY) 55% , 피노 누아(PINOT NOIR) 35% , 피노 므니에(PINOT MEUNIER) 10%","150,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2726
456,샴페인 팔머 빈티지,CHAMPAGNE PALMER VINTAGE,Champagne,프랑스,상파뉴,,,"샤르도네(CHARDONNAY) 50% , 피노 누아(PINOT NOIR) 50%","240,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2725
457,[하프와인] 알파카 샤르도네 세미옹,Alpaca Chardonnay Semillon,White,칠레,-,VSPT,13%,"샤르도네 (Chardonnay), 세미옹(Semillon)","8,900원",2.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2708
458,침니 락 엘바쥬,CHIMNEY ROCK ELEVAGE,Red,미국,"캘리포니아, 나파 밸리",,,"메를로 (Merlot), 까베르네 소비뇽 (Cabernet Sauvignon), 쁘띠 베르도 (Petit Verdot), 까베르네 프랑(Cabernet Franc)",,,https://www.winenara.com/goods/goods_view.php?goodsNo=2705
