,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
55,당장 페이 브뤼,DANGIN FAYS BRUT,Champagne,프랑스,상파뉴(Champagne),당장 & 필스 (Dangin & Fils),12%,"피노 누아 (Pinot Noir) 80%, 샤르도네 (Chardonnay) 10%, 피노 뫼니에 (Pinot Meunier) 10%","42,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1483
56,베이컨,BACON,Red,미국,"미국,캘리포니아",Guarachi Wine Partners,15%,"시라(SYRAH) 35% , 그르나슈(GRENACHE) 25% , 무르베드르(MOURVEDRE) 20% , 메를로(MERLO)T 10% , 쁘띠 시라(PETITE SIRAH) 10%","35,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2775
57,하디스 HRB 샤르도네,HARDYS HRB CHARDONNAY,White,호주,"호주, 남호주",하디스 (Hardys),13.5%,샤르도네(CHARDONNAY) 100%,"70,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2616
58,바독 피노누아,BAR DOG PINOT NOIR,Red,미국,캘리포니아,,,피노 누아,"32,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1936
59,빌라 엠 로미오,VILLA M ROMEO,Sweet,이탈리아,베로나,,,"카베르네 소비뇽, 메를로",,,https://www.winenara.com/goods/goods_view.php?goodsNo=1841
60,"마르케제 안티노리, 뀌베 로얄",MARCHESE ANTINORI CUVEE ROYALE,Sparkling,이탈리아,"이탈리아, 롬바르디아, 프란치아코르타 (Franciacorta)",안티노리 (Antinori) 몬테니자,12.5%,"샤르도네 (Chardonnay) 78%, 피노 누아 (Pinot Noir) 12%, 피노 블랑 (Pinot Blanc) 10%","48,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1450
61,더 페데럴리스트 카베르네 소비뇽,THE FEDERALIST CABERNET SAUVIGNON LODI,Red,미국,"캘리포니아, 로다이",텔라토 패밀리 빈야드 (Terlato Family Vineyards),14.9%,"까베르네 소비뇽 (Cabernet Sauvignon) 87%, 메를로 (Merlot) 6%, 까베르네 프랑 (Cabernet Franc) 4%, 쁘띠 시라 (Petit Syrah) 2%, 산지오베제 (Sangiovese) 1%","100,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1352
62,핀카 비야크레세스 프루노,FINCA VILLACRECES PRUNO,Red,스페인,핀카 비야크레세스 (Finca Villacreces),,,750ml,"45,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1172
63,로스 인토카블레스 말벡,LOS INTOCABLES MALBEC,Red,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),14%,말벡(MALBEC) 100%,"21,900원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2850
64,라 크루와 뒤크뤼 보까이유 뀌베 꼴베,LA CROIX DUCRU BEAUCAILLOU CUVEE COLBERT,Red,프랑스,"프랑스, 보르도, St-Julien",샤또 뒤크뤼 보까이유,13.5%,"카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 35%, 쁘띠 베르도(PETIT VERDOT) 5%","150,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2760
65,유 원 프리미티보 디 만두리아,U-ONE PRIMITIVO DI MANDURIA,Red,이탈리아,"풀리아, 만두리아",쉥크,14.5%,프리미티보 100%,,4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1870
66,트루아젤 모스카토,TROISL MOSCATO,Sweet,이탈리아,피에몬테,산테로,5%,모스카토,,3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1846
67,젠틀맨즈 컬렉션 카베르네 소비뇽,GENTLEMAN'S COLLECTION CABERNET SAUVIGNON,Red,호주,"호주, 동남부 지역 (South Eastern Australia)",린드만 (Lindeman’s),14.5%,까베르네 소비뇽 (Cabernet Sauvignon),"40,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1419
68,스타즈 콜라이드 소비뇽블랑,STARS COLLIDE SAUVIGNON BLANC,White,뉴질랜드,-,하하 와인즈 HAHA WINES,12.5%,소비뇽 블랑(SAUVIGNON BLANC)100%,"17,900원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2970
69,쇼 앤 스미스 엠쓰리 샤르도네,SHAW AND SMITH M3 CHARDONNAY,White,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,13%,샤르도네(CHARDONNAY) 100%,"59,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2748
